VideoId,Title,PublishedAt,ChannelId,ChannelTitle,CategoryId,ViewCount,LikeCount,DislikeCount,CommentCount
_Tk43Tsgbms,Moving Aboard our New Boat! (Prepping to Leave Port),2023-11-27T22:00:44Z,UCZdQjaSoLjIzFnWsDQOv4ww,Sailing La Vagabonde,Travel & Events,510018,32931,0,860
pQms4VlRJC8,My favourite mafia movie,2023-11-27T20:00:21Z,UCuwUl4_fcRio_valO7_lxjA,Mike's Mic,Entertainment,358990,33047,0,1283
G9Sh1oKg760,NEVER BAKING AGAIN!!🧍‍♂️| Louie's Life,2023-11-27T22:56:36Z,UCZDdF_p-L88NWVpzF0vjvMQ,Louie's Life,Entertainment,145832,8605,0,253
HNsjY1dPc5Q,Jim Cornette on CM Punk Returning To WWE At Survivor Series 2023,2023-11-27T05:25:58Z,UClkZ_CUNwGavQJy2UAYhfXA,Official Jim Cornette,Film & Animation,387028,11756,0,5021
xgs2ZIJqf7s,Eat It Or Yeet It But Everything Is Green,2023-11-28T18:00:36Z,UCYJPby9DRCteedh5tfxVbrw,Smosh Pit,People & Blogs,594408,42997,0,2312
pCCuoaOn44Q,Solo Platinum to Unreal Speedrun (Fortnite OG),2023-11-27T14:00:37Z,UCflg3XRMMpUIgCBWEtbJQDQ,Winter,Gaming,340446,4742,0,220
3HVX1d0iheM,HAMMER JAM: Upgrade Uproar! Clash of Clans Animation,2023-11-26T11:12:53Z,UCD1Em4q90ZUK2R5HKesszJg,Clash of Clans,Gaming,5945916,174016,0,4736
Frp0zC4643U,Kantara A Legend Chapter-1 First Look Teaser | RishabShetty|Ajaneesh| VijayKiragandur |Hombale Films,2023-11-27T06:55:02Z,UCarJoVXH0T2pdtcHBu9J8Bw,Hombale Films,Film & Animation,21566954,962666,0,23805
hdtH8RT352o,"Benavidez vs Andrade HIGHLIGHTS: November 25, 2023 | PBC on Showtime PPV",2023-11-26T06:55:43Z,UCWXYAGB9SadlL6p5Bb66wWw,Premier Boxing Champions,Sports,1609823,19889,0,6459
bavW0vR2ZyI,Tears of The Kingdom but ALL the Items are random,2023-11-27T13:46:02Z,UCAnzaHhB0ONtwDkYdc3MFCw,Linkus7,Gaming,248843,10938,0,309
iSqFxWiB_iY,Alberta Invokes Sovereignty Act,2023-11-27T23:12:28Z,UCrbOGpnOudmETQ0WZkyvD8g,Calgary Herald,People & Blogs,912906,43036,0,8896
U_dEKuL5uQc,I Created A Live Event In Fortnite!,2023-11-27T17:00:07Z,UCJ8RtaYEROGEMdyUAqgO-9g,Trimix,Gaming,461746,18245,0,1119
LDiXNsWQzD0,Why use many streetlights when one will do?,2023-11-27T16:00:13Z,UCBa659QWEk1AI4Tg--mrJ2A,Tom Scott,Education,1607568,88172,0,2016
_yjc8AulnDk,The Entire OpenAI Chaos Explained,2023-11-27T15:46:27Z,UC4QZ_LsYcvcq7qOsOhpAX4A,ColdFusion,Science & Technology,651168,24005,0,1854
qgmhQZzoy1s,Garnacho UNBELIEVABLE Overhead Kick! 🤩 | Everton 0-3 Man Utd | Highlights,2023-11-26T22:00:20Z,UC6yW44UGJJBvYTlfC7CRg2Q,Manchester United,Sports,7330243,163169,0,5812
9dKDKq7FrcA,I Built a Library for Every Enchantment in Minecraft,2023-11-27T14:00:09Z,UCRJBLIR5E1bfDmq3kAzRpeg,Mogswamp,Gaming,441409,27764,0,1151
qbMjA3IH3Y0,2spooky👻,2023-11-27T10:32:56Z,UC2CmFx99gzfInrT8Jowm01w,2ManySnacks,Film & Animation,780838,106265,0,1284
lJLdyWdRRRk,Mood Teaser | drewboi DS 'All I Want Is You',2023-11-23T03:00:23Z,UCPmkbWoBo97JaFyWbX-7-Aw,drewboi,Music,172084,14571,0,507
sOXxzkWDRu8,Gaza ceasefire extended by two days as three-year-old twins among 11 Hamas hostages freed | ITV News,2023-11-27T23:08:50Z,UCFQgi22Ht00CpaOQLtvZx2A,ITV News,News & Politics,229986,2810,0,1163
eSJDyAIOk2c,An Update from Game Director Joe Blackburn,2023-11-27T17:00:22Z,UC52XYgEExV9VG6Rt-6vnzVA,Destiny 2,Gaming,280947,23706,0,2289
GSs9hXxwUjk,I WAS CASTED IN A KPOP IDOL MUSIC VIDEO!!,2023-11-27T13:00:14Z,UC8Ch40k7gSxNOCSnU-cmnwg,erica ha,People & Blogs,530877,34117,0,947
GsrC6-2K_9s,Making Resin Ornaments For My Family (but they're a prank),2023-11-27T13:59:13Z,UCby13HqmxFqWEYeHUG72TQw,Evan and Katelyn 2,Howto & Style,247615,20263,0,690
7r9iBsLBjU8,Face Off: Devin Haney Vs Regis Prograis (Full Feature),2023-11-26T20:59:10Z,UC7LReVje9aPB4B6XAsXX8WQ,Matchroom Boxing,Sports,623407,13840,0,3796
MqyJZsGFZ3M,"I Bought The Same Dress For $4, $30, $60, and $200",2023-11-26T00:45:53Z,UCbAwSkqJ1W_Eg7wr3cp5BUA,Safiya Nygaard,People & Blogs,2661549,172230,0,5867
AKC0MszeHHs,K Suave - Cloud9 2 **(Official Music Video)**,2023-11-26T20:15:09Z,UCn6qicXN_j1D8wrV57eP69g,K Suave,Music,271437,17434,0,1742
fNwOrly6F7s,Our EXTREME House Makeover REVEAL!,2023-11-26T19:14:09Z,UCVe_RrR9AMeY6Z8ixOv5gtw,Ryland vlogs,People & Blogs,441651,25448,0,1665
wyqxEGD_4rI,I Brought Fresh Back To OG Fortnite...,2023-11-27T16:00:38Z,UCh7EqOZt7EvO2osuKbIlpGg,Lachlan,Gaming,1391393,43136,0,985
aYIeB02Wyb8,Kodak Black - Kylie Grande [Official Music VIdeo],2023-11-26T16:00:07Z,UChEYVadfkMCfrKUi6qr3I1Q,Kodak Black,Music,481338,25666,0,1549
7QIEU9KkY5g,I Explored China's Failed $1 Billion Copy of Paris (real city),2023-11-26T18:00:13Z,UCvK4bOhULCpmLabd2pDMtnA,Yes Theory,Entertainment,2255844,64852,0,8957
TmlyIOsUT-g,"Game Theory: FNAF, Help Me SOLVE The Impossible!",2023-11-25T18:05:00Z,UCo_IB5145EVNcf8hw1Kku7w,The Game Theorists,Gaming,3321187,185085,0,11354
oJEdK7X4Bxg,I Bought UNREALISTIC Beauty Products,2023-11-26T15:30:11Z,UCAM2fyCjEdROyELretVTiiw,HopeScope,Howto & Style,1153768,37015,0,2153
Uq1ANdWRIh0,North Korea's most powerful woman | DW Documentary,2023-11-26T17:00:20Z,UCW39zufHfsuGgpLviKh297Q,DW Documentary,Education,1411883,15827,0,2484
Ekh6WflzyCE,Our Unexpected Move to Toronto,2023-11-26T16:00:15Z,UC4laAHbk8VSgmvB47tsd2XQ,Eamon & Bec,Travel & Events,824322,49062,0,5218
W0RvoqPGxm8,El Niño Is About To Kick In…,2023-11-27T16:40:34Z,UCBBsPuUY-8UwkSim4zLXp1w,"Ryan Hall, Y'all XTRA",News & Politics,929907,35117,0,916
RCZcwetOeQQ,HANG OUT WITH US VLOG😎,2023-11-28T00:06:04Z,UC73PQvnVx2ltyRC-bIHpAfA,Badbishlily,Entertainment,221239,10108,0,2122
jGm6fReUNeI,[#2023MAMA] ENHYPEN (엔하이픈) - Bite Me + Sweet Venom | Mnet 231128 방송,2023-11-28T12:18:29Z,UCbD8EppRX3ZwJSou-TVo90A,Mnet K-POP,Gaming,1642980,155283,0,5052
E7In-OO_bJI,No. 2 Ohio State Buckeyes vs. No. 3 Michigan Wolverines Highlights | CFB on FOX,2023-11-25T20:59:05Z,UCpwix-O6ceqMgdxhqIynzFA,CFB ON FOX,Sports,1038619,12513,0,2703
tdWXDXT7_pk,Randy Orton makes his earth-shattering return: Survivor Series: WarGames 2023 highlights,2023-11-26T04:50:00Z,UCJ5v_MCY6GNUBTO8-D3XoAg,WWE,Sports,3575877,97243,0,4419
l8xo2u_llnE,"Keke Palmer Gets Soulful with ""Ungorgeous"" | Soul Train Awards '23",2023-11-27T02:40:36Z,UCcVqCJ_9owb1zM43vqswMNQ,BETNetworks,Entertainment,798776,9924,0,791
yf_J3vKDDg8,I ADOPTED 100 PETS!!,2023-11-25T15:30:26Z,UCbp9MyKCTEww4CxEzc_Tp0Q,Stokes Twins,People & Blogs,4202592,158974,0,7933
RbplX6ELLaQ,Buffalo Bills vs. Philadelphia Eagles | 2023 Week 12 Game Highlights,2023-11-27T01:23:50Z,UCDVYQ4Zhbm3S2dlz7P1GBDg,NFL,Sports,2395536,31532,0,5103
SukiOQm9VvE,David Benavidez vs. Demetrius Andrade: FULL CARD Highlights | SHOWTIME PPV,2023-11-26T05:18:41Z,UCFPoJNd0d4k1H9A6UOlikcg,SHOWTIME Sports,Sports,298374,3439,0,1755
b0HfmY64eSE,I bought the most FUTURISTIC Tech in the World,2023-11-25T14:18:33Z,UCMiJRAwDNSNzuYeN2uWa0pA,Mrwhosetheboss,Science & Technology,6813196,231512,0,6634
xVuEBI6Qg18,"[#2023MAMA] Lee Young Ji X HONG EUNCHAE X ZHANG HAO X CHOI HYUN SUK, YOSHI, HARUTO | Mnet 231128 방송",2023-11-28T10:20:29Z,UCbD8EppRX3ZwJSou-TVo90A,Mnet K-POP,Gaming,1847995,117966,0,7968
yX3obdQk490,CM PUNK RETURNS TO WWE AT SURVIVOR SERIES! REACTION!,2023-11-26T05:03:34Z,UCG_Qt6GP3cw5rTp7CQLbkUA,Christian Maracle,Entertainment,531428,14840,0,644
I_tevb_S7cA,Hundreds of 5-Star Reviews!! Famous Traditional Irish Beef Stew Recipe,2023-11-27T00:19:26Z,UCNh35NtktYxumhyASfnF1dg,Essen Recipes,People & Blogs,694192,3734,0,337
0hj60YUamDw,The OG FORTNITE 4 CORNER Challenge!,2023-11-25T18:30:02Z,UCh7EqOZt7EvO2osuKbIlpGg,Lachlan,Gaming,2688103,67640,0,814
GnO4cOx_wFQ,"Extra - Ordinary Man Trailer | Nithiin, Sreeleela | Vakkantham Vamsi | Harris Jayaraj",2023-11-27T11:30:05Z,UCNApqoVYJbYSrni4YsbXzyQ,Aditya Music India,Music,10847697,121313,0,2232
6wpEvdcvgxI,SiBLiNG GIFT EXCHANGE w/ 16 KiDS 2023!!! 🎁,2023-11-26T16:12:00Z,UC-_KiH_Z2yerhAD_cAjAMOA,Not Enough Nelsons,People & Blogs,1179440,25328,0,2885
zxaEDBdgQI8,School Sucks BUT...,2023-11-26T20:59:34Z,UCUKi4zY5ETSqrKAjTBgjM-g,sWooZie,Film & Animation,326431,29375,0,890
lGOCc-r4tb8,Kansas City Chiefs vs. Las Vegas Raiders Game Highlights | NFL 2023 Week 12,2023-11-27T00:27:00Z,UCDVYQ4Zhbm3S2dlz7P1GBDg,NFL,Sports,1618824,17438,0,1333
Kdy5ZdY92KY,"Cody Rhodes gets emotional, reveals what Randy Orton said to him at the end of WWE Survivor Series",2023-11-26T09:05:08Z,UCY8ypPJgfJqeYTtFEDyqCyw,WrestlingNewsCo,Sports,299689,3452,0,208
YltuFDTMRuw,"Ohio State at Michigan | Highlights | Big Ten Football | Nov. 25, 2023",2023-11-25T20:55:12Z,UC4LeRw7pIZ_kseS4Krn_DQA,Big Ten Network,Sports,319124,2659,0,1229
TM85bs2to9w,Has Disney FAILED Yet Again? (Wish Review),2023-11-25T21:00:09Z,UCeGGpOehPGG7vQMUVc7tG8Q,Saberspark,Entertainment,716653,44156,0,5173
KCc32w9M_lI,4-year-old American girl among third group of hostages released by Hamas,2023-11-26T23:49:01Z,UCkBS_xU1WQ7FVsDoQ_OPeDg,CBS Chicago,News & Politics,593668,3210,0,2239
kf6xEh5qUqU,Cleveland Browns vs. Denver Broncos | 2023 Week 12 Game Highlights,2023-11-27T00:32:42Z,UCDVYQ4Zhbm3S2dlz7P1GBDg,NFL,Sports,937663,11207,0,1351
Ku-Lf7hgMos,I Built Minecraft's Safest Base,2023-11-25T11:00:16Z,UCOVTTjN8BndrmcamYQ8MWxg,Carvs,Gaming,2165238,65157,0,5317
q-nub_IFiXg,The Evolution Of Freddy Fazbear (FNaF ANIMATED),2023-11-25T16:14:09Z,UCgb5Cb71XvKXT5V1d2ORVmg,Tell It Animated,Film & Animation,1728235,79334,0,5652
ZI2YHkBe8bk,Everton v. Manchester United | PREMIER LEAGUE HIGHLIGHTS | 11/26/2023 | NBC Sports,2023-11-26T18:58:33Z,UCqZQlzSHbVJrwrn5XvzrzcA,NBC Sports,Sports,861291,12634,0,896
-CjGUtsINIk,Demetrius Andrade Devastated Reaction To Benavidez KO Loss,2023-11-26T06:18:49Z,UCtl12IM0ii3LB9HTZgeWJmA,Boxing News,Sports,214669,1100,0,916
qvKp8Hf8Dtw,My Morally Questionable Sister,2023-11-24T17:00:08Z,UC2hm5rD_IrfYRMfq5YQudgA,Haminations,Comedy,4665665,169948,0,19802
zenpJaJ0n5Q,Secret Micro Apartment INSIDE Uhaul!,2023-11-25T15:00:52Z,UCZpRTwgtk1H0cUAWrHZ1gzg,JStu,Entertainment,1141309,32608,0,1682
8TXGciroWSw,Simulating War On The Moon In Minecraft,2023-11-25T17:00:08Z,UCsEgeyBfOnGGBpjIvkDJbWg,Socksfor1,Gaming,903679,28493,0,1535
3wztAXFSrvQ,I Survived 100 Days in Five Nights at Freddy's in HARDCORE Minecraft,2023-11-25T15:00:03Z,UC4NKi3-86NdHPiVz5QqDN9g,Fozo,Gaming,916278,9223,0,248
Rq58aAIC3p0,I have a confession..,2023-11-26T20:53:21Z,UCHUE4ypXKp7ZkmdWbGJNgJg,AmazingPhil,People & Blogs,197164,23254,0,1161
